NTP,Polymerised Nucleotide,Exhausted Nucleotide,tRNA,Amino Acids,Creatine_Phosphate,Pyrophosphate,Creatine,TL Enzymes,Modelled Final Protein,Round #,Pred for Model #: 1,Pred for Model #: 2,Pred for Model #: 3,Pred for Model #: 4,Pred for Model #: 5,Pred for Model #: 6,Pred for Model #: 7,Pred for Model #: 8,Pred for Model #: 9,Pred for Model #: 10,Pred for Model #: 11,Pred for Model #: 12,Pred for Model #: 13,Pred for Model #: 14,Pred for Model #: 15,Pred for Model #: 16,Pred for Model #: 17,Pred for Model #: 18,Pred for Model #: 19,Pred for Model #: 20,Pred for Model #: 21,Pred for Model #: 22,Pred for Model #: 23,Pred for Model #: 24,Pred for Model #: 25,Predicted Mean,StdDev
2400.0,0.35,0.45,5.0,540.0,4000.0,0.7,0.9,0.6000000000000001,53.858662081349934,1,22.358397,94.10777,47.838955,47.372223,45.19743,36.768166,12.140262,39.648273,114.66318,23.19534,61.31424,25.798512,51.797565,85.881966,44.176758,67.85386,90.86534,42.48073,40.13648,72.1525,20.035501,67.04127,59.683712,29.517775,42.529686,51.382236,25.609978
1800.0,0.35,0.35,4.5,600.0,4000.0,0.8,0.9,4.199999999999999,364.03514773937326,1,22.10587,97.04062,48.389313,48.243744,49.95264,36.870396,12.79154,41.714207,114.344986,23.217747,69.24767,26.177107,58.45774,84.95372,45.0081,61.459087,92.54518,44.632553,39.944218,74.81566,19.711952,66.102745,62.098076,30.914255,40.864708,52.464157,25.853733
3000.0,0.45,0.45,2.5,540.0,5000.0,1.0,0.8,1.7999999999999998,127.20408863095396,1,21.432703,104.086685,44.476685,47.175243,44.26648,38.641136,13.956312,39.5591,111.72096,21.931257,72.21607,24.109402,66.646164,88.81017,43.155544,61.97636,85.99254,46.562683,49.594925,78.865204,21.033045,68.4733,60.43463,29.432043,47.847664,53.295853,26.355576
1200.0,0.5,0.4,3.0,540.0,3500.0,1.0,1.0,4.199999999999999,316.58811136921986,1,21.722956,93.69366,44.580093,48.53138,49.204533,36.634216,13.14743,41.163685,115.02579,21.635408,70.89733,27.100811,60.119305,92.47294,43.339428,59.86329,91.23558,49.999958,43.764973,76.07719,21.177185,68.8503,65.8831,30.384945,43.06191,53.182693,26.168509
3000.0,0.0,0.4,3.0,600.0,3500.0,0.9,0.9,3.6,269.11995509803114,1,19.96721,98.68524,47.516895,50.2387,51.43744,34.59674,12.121818,39.92054,113.06259,22.987873,65.64001,19.080688,55.470387,69.78232,37.03053,68.13224,77.8725,39.68079,39.114582,68.5037,15.375588,72.25891,54.813362,31.532549,42.160618,49.879356,25.284538
1800.0,0.25,0.4,4.5,600.0,1500.0,0.8,0.9,6.0,514.500325701647,1,21.60622,93.14079,43.9517,49.755527,56.647408,35.39322,11.96504,42.177094,112.644775,22.403387,66.91239,23.797762,52.45652,82.68521,42.42004,62.71072,83.49054,42.77716,40.406216,73.00705,17.005383,75.031105,58.991795,33.24484,37.434795,51.282272,25.339363
3000.0,0.25,0.4,2.5,540.0,1000.0,0.9,1.0,3.0,206.97935306406163,1,20.257967,89.376945,37.962814,48.339,50.986946,33.726593,11.855057,39.87106,112.22202,20.75101,62.745544,24.171902,48.823597,77.3027,38.381542,67.95049,80.808784,43.090008,44.940174,71.3432,16.458487,80.09527,55.650887,31.277864,44.37456,50.110573,25.074455
2700.0,0.25,0.15,5.0,480.0,1500.0,0.8,1.0,6.0,480.7999999997652,1,23.683382,87.40568,46.260666,45.117966,53.11496,33.928898,12.125761,44.11401,112.379974,23.696526,71.46319,27.780602,50.475628,77.36013,46.06724,63.22167,97.35746,42.031235,42.97113,73.66316,18.282547,68.979515,58.09211,34.380917,39.217937,51.726894,24.980137
3000.0,0.35,0.35,4.0,600.0,1500.0,0.4,1.0,3.0,237.610752434192,1,21.688705,85.681564,42.161987,45.93502,49.40336,33.979546,11.626532,39.87884,111.78985,21.640934,62.17547,25.097115,43.17602,77.414474,47.581627,58.796234,91.44372,40.729443,42.237392,72.78505,16.9369,74.91351,55.598934,29.498873,42.595974,49.79068,24.882017
2700.0,0.3,0.4,5.0,420.0,3500.0,0.8,0.8,4.199999999999999,379.29238301940507,1,22.602463,94.42777,49.088646,45.86773,48.23513,36.380863,12.492048,41.140713,107.9343,22.836155,69.74281,23.151047,57.568695,85.23298,44.61762,60.587692,90.47811,40.827652,42.522118,74.80745,18.934368,62.34634,57.847126,32.425846,38.864635,51.238415,25.023684
